,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
8,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,593",482,1920,1,A6,0,1/30/2023,40.5943356,-73.7724074
9,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,594",482,1920,1,A6,195000,2/3/2022,40.5943356,-73.7724074
11,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,48,,A5,335 BEACH 40 STREET,,11691,1,0,1,"2,245","1,350",2005,1,A5,0,7/1/2022,40.5951618,-73.7724154
16,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,,A2,354 BEACH 46 STREET,,11691,1,0,1,"3,804","2,304",1925,1,A2,190000,8/19/2022,40.5950749,-73.777086
18,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,,A2,311 BEACH 47 STREET,,11691,1,0,1,"2,853","2,080",1920,1,A2,0,8/24/2022,40.5938722,-73.7782782
19,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,,A6,40-01 ROCKAWAY BEACH BLVD,,11691,1,0,1,"2,626",618,1920,1,A6,542000,3/1/2022,40.5939781,-73.7720702
20,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15850,30,,A6,206 BEACH 42 STREET,,11691,1,0,1,"2,000",560,1920,1,A6,375000,9/23/2022,40.5935278,-73.7733716
22,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,,A0,63-07 BEACH CHANNEL DRIVE,,11692,1,0,1,"4,000","1,020",1950,1,A0,0,3/31/2022,40.5928038,-73.7926269
24,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15960,8,,A1,410 BEACH 43 STREET,,11691,1,0,1,"2,252",866,2018,1,A1,146138,11/9/2022,40.5961404,-73.7745474
27,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,91,,A2,461 BEACH 43 STREET,,11691,1,0,1,"2,513","1,920",1899,1,A2,0,3/31/2022,40.5973495,-73.7752779
28,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,51,,A1,457 BEACH 46 STREET,,11691,1,0,1,"2,377","1,664",2004,1,A1,700000,8/9/2022,40.5971514,-73.777828
29,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15972,62,,A1,401 BEACH 47 STREET,,11691,1,0,1,"3,604","1,464",1915,1,A1,0,5/6/2022,40.5956375,-73.7784848
31,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028,170,,A2,67-04 ALMEDA AVENUE,,11692,1,0,1,"1,988","1,125",1930,1,A2,550000,9/16/2022,40.597118,-73.7968949
32,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,34,,A2,68-11 BAYFIELD AVENUE,,11692,1,0,1,"5,279","1,242",1950,1,A2,530000,7/11/2022,40.598762,-73.7983447
33,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,27,,A9,5-60 BEACH 65 STREET,,11692,1,0,1,"2,500","1,755",1960,1,A9,1,5/24/2022,40.5967209,-73.7942891
34,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,23,,A1,548 BEACH 66 STREET,,11692,1,0,1,"3,999","2,550",1950,1,A1,657200,12/2/2022,40.596341,-73.7951869
